event_id,date_start,date_end,event_name,event_type,regime,severity,sectors_impacted,sectors_helped,description
E001,2000-03-10,2002-10-09,Dot-com bust,Crash,Bear,Severe,"Technology,Telecom,Media","Financials,Consumer Staples,Healthcare","NASDAQ lost 78% peak to trough. Tech/internet valuations collapsed. Massive layoffs in tech sector."
E002,2001-09-11,2001-09-21,9/11 terrorist attacks,Geopolitical,Crisis,Extreme,"Airlines,Travel,Insurance,REITs","Defence,Government contractors","Markets closed 4 days. Airlines grounded. Travel sector devastated. Defence spending surged."
E003,2003-03-20,2003-05-01,Iraq War begins,Geopolitical,Volatile,Moderate,"Travel,Tourism,Consumer","Defence,Oil,Energy","Markets volatile on invasion. Oil spike then retreat. Defence stocks surged."
E004,2004-01-01,2006-12-31,Housing bubble inflation,Bubble,Bull,Low,"Financials,Real Estate","Construction,Materials,Consumer Discretionary","Low rates drove housing speculation. Mortgage-backed securities proliferated. Risk building."
E005,2007-10-09,2009-03-09,Global financial crisis,Crash,Bear,Extreme,"Financials,Real Estate,Consumer Discretionary,Industrials","Government bonds,Gold","S&P lost 56.8%. Banks collapsed. Lehman Brothers failed Sep 2008. Credit markets froze. Unemployment hit 10%."
E006,2009-03-09,2011-04-29,Post-GFC recovery,Recovery,Bull,Low,"Financials,Consumer Discretionary,Technology","Bonds,Defensive sectors","QE1 and QE2 drove recovery. Banks recapitalised. Tech leadership emerging."
E007,2010-04-20,2010-07-15,Deepwater Horizon oil spill,Environmental,Volatile,Moderate,"Oil,Energy,Tourism,Fishing","Renewables","BP shares halved. Gulf coast tourism devastated. Environmental regulation tightened."
E008,2011-08-05,2011-10-03,US credit downgrade,Macro,Volatile,Moderate,"Financials,Consumer","Gold,US Treasuries","S&P downgraded US AAA rating. Market fell 17% in 2 weeks. European debt crisis concurrent."
E009,2014-06-01,2016-01-31,Oil price collapse,Commodity,Bear,Severe,"Oil,Energy,Materials","Consumer,Airlines,Chemicals","Oil fell from $115 to $26. Shale producers bankrupted. Energy sector devastated. Airlines benefited."
E010,2014-02-22,2022-02-24,Russia-Ukraine tensions,Geopolitical,Volatile,Moderate,"Energy,Food commodities","Defence,Cybersecurity","Crimea annexation 2014 then full invasion 2022. Energy prices spiked. European exposure."
E011,2015-08-18,2015-09-29,China stock market crash,International,Volatile,Moderate,"Materials,Industrials,Luxury goods","US domestic stocks","Chinese market fell 40%. Commodity demand fears. Global growth concerns."
E012,2016-06-23,2016-07-27,Brexit vote,Geopolitical,Volatile,Moderate,"UK-exposed financials,Travel,Consumer","Gold,Yen,Defensives","UK voted to leave EU. GBP crashed 10%. UK and European stocks fell. Safe havens surged."
E013,2018-09-01,2018-12-24,US-China trade war begins,Macro,Volatile,Moderate,"Technology,Industrials,Agriculture","Domestic US consumer","Trump tariffs on Chinese goods. Tech supply chains disrupted. S&P fell 20% Q4 2018."
